date,store_number,store_name,city,county,sales
2022-01-30,2662,Hy-Vee Wine & Spirits / Muscatine,Muscatine,MUSCATINE,15675.11
2022-02-06,2662,Hy-Vee Wine & Spirits / Muscatine,Muscatine,MUSCATINE,12822.41
2022-01-09,2663,Hy-Vee Food Store / Urbandale,Urbandale,POLK,40172.94
2022-01-16,2663,Hy-Vee Food Store / Urbandale,Urbandale,POLK,1268.22
2022-01-23,2663,Hy-Vee Food Store / Urbandale,Urbandale,POLK,42231.49
2022-01-30,2663,Hy-Vee Food Store / Urbandale,Urbandale,POLK,26096.33
2022-02-06,2663,Hy-Vee Food Store / Urbandale,Urbandale,POLK,45162.22
2022-01-09,3952,Lot-A-Spirits,Bettendorf,SCOTT,34987.08
2022-01-16,3952,Lot-A-Spirits,Bettendorf,SCOTT,41285.4
2022-01-23,3952,Lot-A-Spirits,Bettendorf,SCOTT,36335.25
2022-01-30,3952,Lot-A-Spirits,Bettendorf,SCOTT,40843.82
2022-02-06,3952,Lot-A-Spirits,Bettendorf,SCOTT,50721.75
2022-01-09,2603,Hy-Vee Wine and Spirits / Bettendorf,Bettendorf,SCOTT,42714.38
2022-01-16,2603,Hy-Vee Wine and Spirits / Bettendorf,Bettendorf,SCOTT,24294.01
2022-01-23,2603,Hy-Vee Wine and Spirits / Bettendorf,Bettendorf,SCOTT,26274.48
2022-01-30,2603,Hy-Vee Wine and Spirits / Bettendorf,Bettendorf,SCOTT,38547.7
2022-02-06,2603,Hy-Vee Wine and Spirits / Bettendorf,Bettendorf,SCOTT,45449.46
2022-01-09,2506,Hy-Vee #1044 / Burlington,Burlington,DES MOINES,26660.62
2022-01-16,2506,Hy-Vee #1044 / Burlington,Burlington,DES MOINES,18238.62
2022-01-23,2506,Hy-Vee #1044 / Burlington,Burlington,DES MOINES,29012.07
2022-01-30,2506,Hy-Vee #1044 / Burlington,Burlington,DES MOINES,22976.51
2022-02-06,2506,Hy-Vee #1044 / Burlington,Burlington,DES MOINES,30731.45
2022-01-09,4969,Lake Liquors Wine and Spirits,Clear Lake,CERRO GORD,14162.1
2022-01-16,4969,Lake Liquors Wine and Spirits,Clear Lake,CERRO GORD,10406.19
2022-01-23,4969,Lake Liquors Wine and Spirits,Clear Lake,CERRO GORD,12726.48
2022-01-30,4969,Lake Liquors Wine and Spirits,Clear Lake,CERRO GORD,13426.98
2022-02-06,4969,Lake Liquors Wine and Spirits,Clear Lake,CERRO GORD,13298.18
2022-01-09,2670,Hy-Vee Food Store / Coralville,Coralville,JOHNSON,37485.23
2022-01-16,2670,Hy-Vee Food Store / Coralville,Coralville,JOHNSON,38027.05
2022-01-23,2670,Hy-Vee Food Store / Coralville,Coralville,JOHNSON,44997.41
2022-01-30,2670,Hy-Vee Food Store / Coralville,Coralville,JOHNSON,48572.93
2022-02-06,2670,Hy-Vee Food Store / Coralville,Coralville,JOHNSON,33646.05
2022-01-16,4677,Costco Wholesale #1111 / Coralville,Coralville,JOHNSON,104925.18
2022-01-23,4677,Costco Wholesale #1111 / Coralville,Coralville,JOHNSON,26962.86
2022-01-30,4677,Costco Wholesale #1111 / Coralville,Coralville,JOHNSON,15161.04
2022-02-06,4677,Costco Wholesale #1111 / Coralville,Coralville,JOHNSON,17918.82
2022-01-09,4829,Central City 2,Des Moines,POLK,110963.58
2022-01-16,4829,Central City 2,Des Moines,POLK,165794.23
2022-01-23,4829,Central City 2,Des Moines,POLK,183849.03
2022-01-30,4829,Central City 2,Des Moines,POLK,246056.67
2022-02-06,4829,Central City 2,Des Moines,POLK,229875.99
2022-01-09,2673,Hy-Vee # 6/ Des Moines,Des Moines,POLK,12252.81
2022-01-16,2673,Hy-Vee # 6/ Des Moines,Des Moines,POLK,11110.48
2022-01-23,2673,Hy-Vee # 6/ Des Moines,Des Moines,POLK,11202.32
2022-01-30,2673,Hy-Vee # 6/ Des Moines,Des Moines,POLK,16775.81
2022-02-06,2673,Hy-Vee # 6/ Des Moines,Des Moines,POLK,9808.33
2022-01-09,2190,"Central City Liquor, Inc.",Des Moines,POLK,30803.22
2022-01-16,2190,"Central City Liquor, Inc.",Des Moines,POLK,33588.42
2022-01-23,2190,"Central City Liquor, Inc.",Des Moines,POLK,35206.41
2022-01-30,2190,"Central City Liquor, Inc.",Des Moines,POLK,55618.52
2022-02-06,2190,"Central City Liquor, Inc.",Des Moines,POLK,39784.81
2022-01-09,2633,Hy-Vee #3 / BDI / Des Moines,Des Moines,POLK,389152.48
2022-01-16,2633,Hy-Vee #3 / BDI / Des Moines,Des Moines,POLK,158728.51
2022-01-23,2633,Hy-Vee #3 / BDI / Des Moines,Des Moines,POLK,148573.55
2022-01-30,2633,Hy-Vee #3 / BDI / Des Moines,Des Moines,POLK,261084.68000000011
2022-02-06,2633,Hy-Vee #3 / BDI / Des Moines,Des Moines,POLK,208537.12
2022-01-09,2561,Hy-Vee Food Store / Fleur / DSM,Des Moines,POLK,20842.75
2022-01-16,2561,Hy-Vee Food Store / Fleur / DSM,Des Moines,POLK,21524.18
2022-01-23,2561,Hy-Vee Food Store / Fleur / DSM,Des Moines,POLK,21378.61
2022-01-30,2561,Hy-Vee Food Store / Fleur / DSM,Des Moines,POLK,14700.11
2022-02-06,2561,Hy-Vee Food Store / Fleur / DSM,Des Moines,POLK,13436.58
2022-01-09,2528,Hy-Vee Food Store #3 / Des Moines,Des Moines,POLK,23772.54
2022-01-16,2528,Hy-Vee Food Store #3 / Des Moines,Des Moines,POLK,32269.87
